"","LizardID","Batch","TubID","Treatment","Date","Time","Trial","Correct","Choose.only.correct.dish","Latency","lt","learnt"
"1","1468460","1",9,"1",2015-08-10,"Morning",1,1,1,1722,1,1
"2","1468460","1",9,"1",2015-08-10,"Afternoon",2,1,1,970,1,1
"3","1468460","1",9,"1",2015-08-11,"Morning",3,1,1,256,1,1
"4","1468460","1",9,"1",2015-08-11,"Afternoon",4,1,1,1180,1,1
"5","1468460","1",9,"1",2015-08-14,"Morning",5,1,0,263,1,1
"6","1468460","1",9,"1",2015-08-14,"Afternoon",6,1,0,726,1,1
"7","1468460","1",9,"1",2015-08-17,"Morning",7,1,1,248,1,1
"8","1468460","1",9,"1",2015-08-17,"Afternoon",8,1,0,2156,1,1
"9","1468460","1",9,"1",2015-08-18,"Morning",9,1,0,333,0,1
"10","1468460","1",9,"1",2015-08-18,"Afternoon",10,1,0,485,0,1
"11","1468460","1",9,"1",2015-08-19,"Morning",11,1,0,1113,0,1
"12","1468460","1",9,"1",2015-08-19,"Afternoon",12,1,0,432,0,1
"13","1468460","1",9,"1",2015-08-20,"Morning",13,1,1,379,0,1
"14","1468460","1",9,"1",2015-08-20,"Afternoon",14,1,0,1024,0,1
"15","1468460","1",9,"1",2015-08-21,"Morning",15,1,1,423,0,1
"16","1468460","1",9,"1",2015-08-21,"Afternoon",16,1,0,280,0,1
"17","1468460","1",9,"1",2015-08-24,"Morning",17,1,0,529,0,1
"18","1468460","1",9,"1",2015-08-24,"Afternoon",18,1,1,801,0,1
"19","1468460","1",9,"1",2015-08-25,"Morning",19,1,1,224,0,1
"20","1468460","1",9,"1",2015-08-25,"Afternoon",20,1,0,967,0,1
"21","1468460","1",9,"1",2015-08-26,"Morning",21,0,0,NA,0,1
"22","1468460","1",9,"1",2015-08-26,"Afternoon",22,0,0,NA,0,1
"23","1468460","1",9,"1",2015-08-27,"Morning",23,0,0,NA,0,1
"24","1468460","1",9,"1",2015-08-27,"Afternoon",24,1,0,787,0,1
"25","1468460","1",9,"1",2015-08-28,"Morning",25,1,0,547,0,1
"26","1468460","1",9,"1",2015-08-28,"Afternoon",26,1,1,602,0,1
"27","1468476","1",15,"0",2015-08-10,"Morning",1,0,0,161,1,1
"28","1468476","1",15,"0",2015-08-10,"Afternoon",2,1,0,150,1,1
"29","1468476","1",15,"0",2015-08-11,"Morning",3,1,0,359,1,1
"30","1468476","1",15,"0",2015-08-11,"Afternoon",4,0,0,NA,1,1
"31","1468476","1",15,"0",2015-08-14,"Morning",5,0,0,NA,1,1
"32","1468476","1",15,"0",2015-08-14,"Afternoon",6,0,0,NA,1,1
"33","1468476","1",15,"0",2015-08-17,"Morning",7,1,0,332,1,1
"34","1468476","1",15,"0",2015-08-17,"Afternoon",8,1,0,473,1,1
"35","1468476","1",15,"0",2015-08-18,"Morning",9,1,0,213,1,1
"36","1468476","1",15,"0",2015-08-18,"Afternoon",10,1,1,88,1,1
"37","1468476","1",15,"0",2015-08-19,"Morning",11,1,0,140,1,1
"38","1468476","1",15,"0",2015-08-19,"Afternoon",12,1,0,165,1,1
"39","1468476","1",15,"0",2015-08-20,"Morning",13,1,0,214,1,1
"40","1468476","1",15,"0",2015-08-20,"Afternoon",14,1,0,155,0,1
"41","1468476","1",15,"0",2015-08-21,"Morning",15,1,0,68,0,1
"42","1468476","1",15,"0",2015-08-21,"Afternoon",16,1,0,66,0,1
"43","1468476","1",15,"0",2015-08-24,"Morning",17,1,1,312,0,1
"44","1468476","1",15,"0",2015-08-24,"Afternoon",18,1,0,145,0,1
"45","1468476","1",15,"0",2015-08-25,"Morning",19,1,1,89,0,1
"46","1468476","1",15,"0",2015-08-25,"Afternoon",20,1,0,393,0,1
"47","1468476","1",15,"0",2015-08-26,"Morning",21,1,0,139,0,1
"48","1468476","1",15,"0",2015-08-26,"Afternoon",22,1,0,323,0,1
"49","1468476","1",15,"0",2015-08-27,"Morning",23,1,0,172,0,1
"50","1468476","1",15,"0",2015-08-27,"Afternoon",24,1,0,70,0,1
"51","1468476","1",15,"0",2015-08-28,"Morning",25,1,0,182,0,1
"52","1468476","1",15,"0",2015-08-28,"Afternoon",26,1,0,149,0,1
"53","1468502","1",4,"1",2015-08-10,"Morning",1,0,0,1651,1,1
"54","1468502","1",4,"1",2015-08-10,"Afternoon",2,1,0,1343,1,1
"55","1468502","1",4,"1",2015-08-11,"Morning",3,1,0,1272,1,1
"56","1468502","1",4,"1",2015-08-11,"Afternoon",4,1,1,719,1,1
"57","1468502","1",4,"1",2015-08-14,"Morning",5,1,0,130,1,1
"58","1468502","1",4,"1",2015-08-14,"Afternoon",6,1,0,848,1,1
"59","1468502","1",4,"1",2015-08-17,"Morning",7,1,0,662,1,1
"60","1468502","1",4,"1",2015-08-17,"Afternoon",8,1,1,575,1,1
"61","1468502","1",4,"1",2015-08-18,"Morning",9,1,1,919,0,1
"62","1468502","1",4,"1",2015-08-18,"Afternoon",10,1,0,652,0,1
"63","1468502","1",4,"1",2015-08-19,"Morning",11,1,1,275,0,1
"64","1468502","1",4,"1",2015-08-19,"Afternoon",12,1,0,526,0,1
"65","1468502","1",4,"1",2015-08-20,"Morning",13,1,1,571,0,1
"66","1468502","1",4,"1",2015-08-20,"Afternoon",14,1,0,740,0,1
"67","1468502","1",4,"1",2015-08-21,"Morning",15,1,0,837,0,1
"68","1468502","1",4,"1",2015-08-21,"Afternoon",16,1,0,587,0,1
"69","1468502","1",4,"1",2015-08-24,"Morning",17,1,1,1019,0,1
"70","1468502","1",4,"1",2015-08-24,"Afternoon",18,1,1,853,0,1
"71","1468502","1",4,"1",2015-08-25,"Morning",19,1,0,877,0,1
"72","1468502","1",4,"1",2015-08-25,"Afternoon",20,1,1,513,0,1
"73","1468502","1",4,"1",2015-08-26,"Morning",21,0,0,NA,0,1
"74","1468502","1",4,"1",2015-08-26,"Afternoon",22,1,0,1175,0,1
"75","1468502","1",4,"1",2015-08-27,"Morning",23,1,0,1268,0,1
"76","1468502","1",4,"1",2015-08-27,"Afternoon",24,0,0,NA,0,1
"77","1468502","1",4,"1",2015-08-28,"Morning",25,1,0,1207,0,1
"78","1468502","1",4,"1",2015-08-28,"Afternoon",26,1,0,949,0,1
"79","1468504","2",7,"0",2015-10-19,"Morning",1,0,0,NA,1,1
"80","1468504","2",7,"0",2015-10-19,"Afternoon",2,1,0,428,1,1
"81","1468504","2",7,"0",2015-10-20,"Morning",3,1,0,74,1,1
"82","1468504","2",7,"0",2015-10-20,"Afternoon",4,0,0,NA,1,1
"83","1468504","2",7,"0",2015-10-21,"Morning",5,1,0,152,1,1
"84","1468504","2",7,"0",2015-10-21,"Afternoon",6,0,0,NA,1,1
"85","1468504","2",7,"0",2015-10-22,"Morning",7,1,0,190,1,1
"86","1468504","2",7,"0",2015-10-22,"Afternoon",8,0,0,NA,1,1
"87","1468504","2",7,"0",2015-10-23,"Morning",9,1,0,61,1,1
"88","1468504","2",7,"0",2015-10-23,"Afternoon",10,0,0,NA,1,1
"89","1468504","2",7,"0",2015-10-26,"Morning",11,1,0,265,1,1
"90","1468504","2",7,"0",2015-10-26,"Afternoon",12,0,0,NA,1,1
"91","1468504","2",7,"0",2015-10-27,"Morning",13,1,0,33,1,1
"92","1468504","2",7,"0",2015-10-27,"Afternoon",14,1,0,382,1,1
"93","1468504","2",7,"0",2015-10-28,"Morning",15,1,0,220,1,1
"94","1468504","2",7,"0",2015-10-28,"Afternoon",16,1,0,346,1,1
"95","1468504","2",7,"0",2015-10-29,"Morning",17,0,0,NA,1,1
"96","1468504","2",7,"0",2015-10-29,"Afternoon",18,1,0,556,1,1
"97","1468504","2",7,"0",2015-10-30,"Morning",19,1,0,211,1,1
"98","1468504","2",7,"0",2015-10-30,"Afternoon",20,1,0,698,1,1
"99","1468504","2",7,"0",2015-11-02,"Morning",21,1,0,292,0,1
"100","1468504","2",7,"0",2015-11-02,"Afternoon",22,1,0,64,0,1
"101","1468504","2",7,"0",2015-11-03,"Morning",23,0,0,NA,0,1
"102","1468504","2",7,"0",2015-11-03,"Afternoon",24,1,0,141,0,1
"103","1468504","2",7,"0",2015-11-04,"Morning",25,1,0,418,0,1
"104","1468504","2",7,"0",2015-11-04,"Afternoon",26,0,0,NA,0,1
"105","1468504","2",7,"0",2015-11-05,"Morning",27,1,0,308,0,1
"106","1468504","2",7,"0",2015-11-05,"Afternoon",28,0,0,NA,0,1
"107","1468504","2",7,"0",2015-11-06,"Morning",29,1,0,247,0,1
"108","1468504","2",7,"0",2015-11-06,"Afternoon",30,1,0,162,0,1
"109","1468506","1",2,"1",2015-08-10,"Morning",1,0,0,NA,1,1
"110","1468506","1",2,"1",2015-08-10,"Afternoon",2,1,0,169,1,1
"111","1468506","1",2,"1",2015-08-11,"Morning",3,1,0,244,1,1
"112","1468506","1",2,"1",2015-08-11,"Afternoon",4,1,0,143,1,1
"113","1468506","1",2,"1",2015-08-14,"Morning",5,1,1,91,1,1
"114","1468506","1",2,"1",2015-08-14,"Afternoon",6,1,0,163,1,1
"115","1468506","1",2,"1",2015-08-17,"Morning",7,1,0,31,1,1
"116","1468506","1",2,"1",2015-08-17,"Afternoon",8,1,0,99,1,1
"117","1468506","1",2,"1",2015-08-18,"Morning",9,1,1,162,0,1
"118","1468506","1",2,"1",2015-08-18,"Afternoon",10,1,0,54,0,1
"119","1468506","1",2,"1",2015-08-19,"Morning",11,1,0,78,0,1
"120","1468506","1",2,"1",2015-08-19,"Afternoon",12,1,0,69,0,1
"121","1468506","1",2,"1",2015-08-20,"Morning",13,0,0,NA,0,1
"122","1468506","1",2,"1",2015-08-20,"Afternoon",14,1,0,45,0,1
"123","1468506","1",2,"1",2015-08-21,"Morning",15,1,0,175,0,1
"124","1468506","1",2,"1",2015-08-21,"Afternoon",16,1,0,192,0,1
"125","1468506","1",2,"1",2015-08-24,"Morning",17,1,1,59,0,1
"126","1468506","1",2,"1",2015-08-24,"Afternoon",18,1,1,43,0,1
"127","1468506","1",2,"1",2015-08-25,"Morning",19,1,1,202,0,1
"128","1468506","1",2,"1",2015-08-25,"Afternoon",20,1,0,292,0,1
